Date,btc_price_usd,eth_price_usd,bnb_price_usd,sol_price_usd,xrp_price_usd,btc_daily_return,eth_daily_return,bnb_daily_return,sol_daily_return,xrp_daily_return,btc_price_indexed,eth_price_indexed,bnb_price_indexed,sol_price_indexed,xrp_price_indexed,month,quarter,year,btc_return_direction,eth_return_direction,bnb_return_direction,sol_return_direction,xrp_return_direction
2025-06-02,105710.00593822816,2538.3300584367485,661.3452261434389,157.63092185153255,2.1802830722675224,0.0097671492424191,0.0023564053153362,0.0042099101473913,0.0048526677977809,0.0015080342297797,0.6921259952695407,0.3177522867036126,0.14235340806763955,0.4704475984623927,0.41200741399119123,6,2025Q2,2025,Up,Up,Up,Up,Up
2025-06-03,105884.74263221148,2609.737253959435,666.0561104906627,156.97126157615844,2.2004265864927537,0.0016529815927306,0.0281315644060344,0.0071231849282329,-0.004184840560632,0.0092389444661797,0.6949479786031657,0.33901794295554016,0.148565699939646,0.46656299060463136,0.4206150840937772,6,2025Q2,2025,Up,Up,Up,Down,Up
2025-06-04,105434.47745144973,2595.4689570063,661.17332497159,155.57609294535118,2.2486280245071963,-0.004252408511071,-0.0054673308324382,-0.0073308921608357,-0.0088880513337172,0.0219054970115002,0.6876762327159357,0.3347687255470594,0.14212672021585754,0.45834712066602934,0.44121238763572185,6,2025Q2,2025,Down,Down,Down,Down,Up
2025-06-05,104812.9182188067,2610.343189828259,663.70338541173,153.52933334658826,2.202322198067478,-0.0058952180317791,0.0057308459736369,0.0038266220740963,-0.0131560033422479,-0.0205929241897919,0.6776381018837999,0.3391983956928701,0.14546313706447525,0.44629416141242906,0.4214251115247124,6,2025Q2,2025,Down,Up,Up,Down,Down
2025-06-06,101650.7387545425,2421.601103763502,634.1479715861758,144.54778524030908,2.0970164299223453,-0.0301697492828399,-0.0723054680320308,-0.0445310578116449,-0.0585005347870792,-0.0478157865536377,0.6265691618537389,0.2829894339328517,0.10648810742052314,0.39340361509489175,0.3764261455072869,6,2025Q2,2025,Down,Down,Down,Down,Down
2025-06-07,104409.74967959142,2481.4039836690267,643.7566841456504,148.27289869882955,2.163852346114403,0.0271420646701952,0.024695594915522,0.0151521616247398,0.025770809648363,0.0318719086976979,0.6711269629102301,0.3007992285570104,0.1191592159712665,0.4153400656471318,0.40498628209282406,6,2025Q2,2025,Up,Up,Up,Up,Up
2025-06-08,105681.4546141758,2526.291995889778,650.7937997932994,150.07536034230216,2.1779065492597427,0.012179944291476,0.0180897639063104,0.0109313282812559,0.0121563796168424,0.0064949917542094,0.691664893718447,0.31416725163551856,0.12843913309893323,0.42595440294306225,0.41099188483309873,6,2025Q2,2025,Up,Up,Up,Up,Up
2025-06-09,105692.24740699006,2508.784123584585,652.274428548494,152.50446458828966,2.2629632981656744,0.0001021257026945,-0.0069302647254069,0.0022751119566057,0.0161858964752577,0.0390543611409048,0.6918391964407362,0.3089532617648957,0.13039165353955395,0.44025891360339126,0.44733809664075286,6,2025Q2,2025,Up,Down,Up,Up,Up
2025-06-10,110261.57485948496,2685.0001850413178,666.3374143222443,161.15980951265985,2.321075765224377,0.0432323804687371,0.070239627156502,0.0215599219565369,0.0567546986098845,0.0256798097900252,0.7656334615310861,0.36143186929985854,0.1489366582094087,0.4912285144115877,0.4721705533658139,6,2025Q2,2025,Up,Up,Up,Up,Up
2025-06-11,110212.73252109604,2808.503208314919,673.4760595844963,164.9644225697288,2.305016386019404,-0.0004429679011129,0.0459973984216692,0.0107132589418124,0.0236077038597521,-0.0069189379535056,0.764844661756026,0.3982120959953013,0.15835046348908197,0.5136331222513576,0.46530810440566234,6,2025Q2,2025,Down,Up,Up,Up,Down
